lucky_time,lucky_date,first_person,first_money,second_person,second_money,third_person,third_money,fourth_person,fourth_money,fifth_person,fifth_money,first_num,second_num,third_num,fourth_num,fifth_num,sixth_num,bonus_num,machine,manpower,P_GROUP,P_CATE,P_TITLE,P_WIDTH,P_HEIGHT,P_LINK,P_PAGE,
645,2015-04-11,4,3696297750,28,88007090,1766,1395356,87873,50000,1444728,5000,1,4,16,26,40,41,31,3,1,,,,0,0,,,
644,2015-04-04,8,1831451204,49,49835407,1879,1299593,87582,50000,1401744,5000,5,13,17,23,28,36,8,5,3,,,,0,0,,,
643,2015-03-28,6,2535763625,43,58971248,1525,1662796,84656,50000,1407225,5000,15,24,31,32,33,40,13,3,3,,,,0,0,,,
642,2015-03-21,12,1251460438,62,40369692,1815,1379020,88406,50000,1465689,5000,8,17,18,24,39,45,32,8,4,,,,0,0,,,
641,2015-03-14,8,1990074563,50,53068655,1565,1695485,79145,50000,1340371,5000,11,18,21,36,37,43,12,5,3,,,,0,0,,,
640,2015-03-07,9,1728768834,48,54024027,1639,1582156,85410,50000,1404905,5000,14,15,18,21,26,35,23,8,1,,,,0,0,,,
639,2015-02-28,4,4061185219,45,60165707,1628,1663058,84861,50000,1439719,5000,6,15,22,23,25,32,40,1,3,,,,0,0,,,
638,2015-02-21,7,2229403179,41,63438302,1719,1513072,84781,50000,1422596,5000,7,18,22,24,31,34,6,5,2,,,,0,0,,,
637,2015-02-14,4,3899241094,45,57766535,1637,1587963,82147,50000,1369826,5000,3,16,22,37,38,44,23,2,2,,,,0,0,,,
636,2015-02-07,8,1832362219,44,55526128,1973,1238292,90830,50000,1461300,5000,6,7,15,16,20,31,26,5,3,,,,0,0,,,
635,2015-01-31,8,1855587235,35,70689038,1650,1499465,85675,50000,1427626,5000,11,13,25,26,29,33,32,7,1,,,,0,0,,,
634,2015-01-24,13,1077935106,54,43250483,2208,1057757,101514,50000,1562975,5000,4,10,11,12,20,27,38,10,3,,,,0,0,,,
633,2015-01-17,12,1217257094,47,51798175,1789,1360825,87613,50000,1430227,5000,9,12,19,20,39,41,13,8,4,,,,0,0,,,
